Electorate,StateAb,DivisionID,DivisionNm,Winner,RunnerUp,WinnerShare,RunnerUpShare,Margin
VIC.1,VIC,197,Aston,ALP,LP,0.5342788737266612,0.46572112627333884,0.06855774745332233
VIC.2,VIC,198,Ballarat,ALP,LP,0.6066481729481538,0.3933518270518462,0.21329634589630758
VIC.3,VIC,200,Bendigo,ALP,LP,0.5139893262800491,0.4860106737199508,0.027978652560098294
VIC.4,VIC,201,Bruce,ALP,LP,0.6461632600873107,0.35383673991268927,0.29232652017462146
VIC.5,VIC,203,Calwell,ALP,IND,0.5508232124767619,0.4491767875232381,0.10164642495352383
VIC.6,VIC,204,Casey,LP,ALP,0.5289201631648924,0.47107983683510757,0.057840326329784864
VIC.7,VIC,205,Chisholm,ALP,LP,0.5570117839142472,0.44298821608575284,0.11402356782849438
VIC.8,VIC,320,Cooper,ALP,GRN,0.597159481716952,0.40284051828304795,0.19431896343390404
VIC.9,VIC,328,Corangamite,ALP,LP,0.5804749086714094,0.41952509132859067,0.1609498173428187
VIC.10,VIC,208,Corio,ALP,LP,0.6323133170638773,0.3676866829361227,0.26462663412775456
VIC.11,VIC,209,Deakin,ALP,LP,0.5282277264581368,0.47177227354186324,0.05645545291627352
VIC.12,VIC,210,Dunkley,ALP,LP,0.5707769249088611,0.42922307509113894,0.14155384981772218
VIC.13,VIC,211,Flinders,LP,IND,0.5228718359249236,0.47712816407507636,0.045743671849847234
VIC.14,VIC,321,Fraser,ALP,GRN,0.5922655326751468,0.4077344673248532,0.18453106535029362
VIC.15,VIC,212,Gellibrand,ALP,LP,0.6510237447957263,0.34897625520427367,0.30204748959145267
VIC.16,VIC,213,Gippsland,LP,ALP,0.6935603963420455,0.30643960365795453,0.38712079268409094
VIC.17,VIC,214,Goldstein,LP,IND,0.5007564427308014,0.4992435572691985,0.001512885461602942
VIC.18,VIC,309,Gorton,ALP,LP,0.6028387551794058,0.3971612448205942,0.2056775103588116
